strID,strName,strMinMass,strAverMass,strMaxMass,strMinPeriodNum,strAverPeriodNum,strMaxPeriodNum,strMinGroupNum,strAverGroupNum,strMaxGroupNum,strMinRaduis,strAverRaduis,strMaxRaduis,strMinEleNegativity,strAverEleNegativity,strMaxEleNegativity,strAverSValenceEleNum,strAverPValenceEleNum,strAverDValenceEleNum,strAverFValenceEleNum,strAverSUnfilledState,strAverPUnfilledState,strAverDUnfilledState,strAverFUnfilledState,strMinIonizationEner,strAverIonizationEner,strMaxIonizationEner,strMinEleAffinity,strAverEleAffinity,strMaxEleAffinity,strMinMeltingPoint,strAverMeltingPoint,strMaxMeltingPoint,strMinBoilingPoint,strAverBoilingPoint,strMaxBoilingPoint,strMinDensity,strAverDensity,strMaxDensity,strNegaMinGap,strNegaAverGap,strNegaMaxGap,strPosiMinGap,strPosiAverGap,strPosiMaxGap,strMinNegaDipoleTotal,strAverNegaDipoleTotal,strMaxNegaDipoleTotal,strMinPosiDipoleTotal,strAverPosiDipoleTotal,strMaxPosiDipoleTotal,strMinNegaAnisoQuadrupole,strAverNegaAnisoQuadrupole,strMaxNegaAnisoQuadrupole,strMinPosiAnisoQuadrupole,strAverPosiAnisoQuadrupole,strMaxPosiAnisoQuadrupole,strMinNegaAnisoPolar,strAverNegaAnisoPolar,strMaxNegaAnisoPolar,strMinPosiAnisoPolar,strAverPosiAnisoPolar,strMaxPosiAnisoPolar,strMinNegaTotalHyperPolar,strAverNegaTotalHyperPolar,strMaxNegaTotalHyperPolar,strMinPosiTotalHyperPolar,strAverPosiTotalHyperPolar,strMaxPosiTotalHyperPolar,strTotalNegaCharge,strTotalPosiCharge,strTotalNegaMultiplicity,strTotalPosiMultiplicity,strMinNegaFlexibility,strTotalNegaFlexibility,strAverNegaFlexibility,strMaxNegaFlexibility,strMinPosiFlexibility,strTotalPosiFlexibility,strAverPosiFlexibility,strMaxPosiFlexibility,strAverNegaCharge,strSpaceGroupID
99,,1.008,14.36625642,78.97,1,1.725490196,4,1,6.549019608,16,120,144.4509804,227,0.93,2.464509804,3.44,1.37254902,1.450980392,0.980392157,0,0.62745098,0.784313725,0,0,5.139,12.52666667,13.618,0.548,1.042980392,2.021,13.81,114.0690196,1211.4,20.28,262.6007843,3106,0.00008988,0.558069071,5.323,5.742736064,9.355529491,15.83497427,6.24642278,6.24642278,6.24642278,1.8726,19.4073,32.1454,1.8647,1.8647,1.8647,8.466064201,39.73495959,60.98297877,30.73929708,32.60399708,30.73929708,0,414.9776573,1244.41,72.1548,72.1548,72.1548,3.37E-05,1089787.093,3269266.394,1351.924132,1351.924132,1351.924132,-6,0,3,1,0,0.046260528,0.015420176,0.046260528,0.082925154,0.082925154,0.082925154,0.082925154,-2,5
1725,,10.81,23.27163636,39.098,2,2.454545455,4,1,15.36363636,17,152,168.6818182,275,0.82,3.05,3.44,1.954545455,3.863636364,0,0,0.045454545,1.863636364,0,0,4.341,12.24395455,13.618,0.277,1.867545455,3.617,54.36,253.495,2348,90.2,464.3109091,4273,0.001429,0.525363818,2.37,4.813459924,8.285297263,11.26941202,5.293744664,5.293744664,5.293744664,3.6247,21.69366667,35.6783,2.6394,2.6394,2.6394,2.735487134,22.60549571,103.9467085,34.7530049,37.3924049,34.7530049,0,176.476461,529.423,1403.27,1403.27,1403.27,0,121.8670749,362.6680181,4322802.786,4322802.786,4322802.786,-6,0,3,1,0,0.271578172,0.090526057,0.201377651,0.094207507,0.094207507,0.094207507,0.094207507,-2,1
1973,,1.008,12.21993646,22.9897693,1,1.869565217,3,1,10.7826087,16,120,160.2608696,227,0.93,2.647826087,3.44,1.695652174,2.130434783,0,0,0.304347826,2.043478261,0,0,5.139,11.71982609,13.618,0.277,0.970521739,1.461,13.81,571.6917391,2348,20.28,1076.982609,4273,0.00008988,0.600268191,2.37,4.813459924,10.34176858,15.83497427,6.24642278,6.24642278,6.24642278,1.8726,16.69503333,35.6783,1.8647,1.8647,1.8647,8.466064201,51.34393616,103.9467085,30.73929708,32.60399708,30.73929708,0.522972,178.4366807,529.423,72.1548,72.1548,72.1548,94.88645852,636.4548255,1451.81,1351.924132,1351.924132,1351.924132,-4,0,3,1,0,0.070200521,0.023400174,0.070200521,0.082925154,0.082925154,0.082925154,0.082925154,-1.333333333,33
2081,,10.81,27.25893911,132.905452,2,2.444444444,6,1,13.33333333,16,152,186.5555556,343,0.79,2.678888889,3.44,1.888888889,2.555555556,0,0,0.111111111,2.777777778,0,0,3.894,10.76422222,13.618,0.277,0.956444444,1.461,54.36,846.3766667,2348,90.2,1579.333333,4273,0.001429,1.005238333,2.37,4.813459924,4.813459924,4.813459924,5.38925738,5.38925738,5.38925738,35.6783,35.6783,35.6783,2.3672,2.3672,2.3672,103.9467085,139.6250085,103.9467085,28.29686588,30.66406588,28.29686588,529.423,529.423,529.423,693.401,693.401,693.401,362.6680181,362.6680181,362.6680181,1804660.204,1804660.204,1804660.204,-3,0,1,1,0.070200521,0.070200521,0.070200521,0.070200521,0.119429658,0.119429658,0.119429658,0.119429658,-3,19
4225,,10.81,17.6080224,24.305,2,2.277777778,3,2,11.66666667,17,135,163.5555556,192,1.31,2.645,3.98,2,2.444444444,0,0,0,1.888888889,0,0,7.646,11.28383333,17.423,-0.22,0.901055556,3.339,53.53,677.8761111,2348,85.03,1140.601667,4273,0.001429,0.879142056,2.37,4.813459924,9.987201432,15.16094294,7.365091656,7.365091656,7.365091656,10.2017,22.94,35.6783,7.4825,7.4825,7.4825,21.66753153,33.77376577,103.9467085,20.31769565,27.80019565,20.31769565,0,264.7115,529.423,45.9554,45.9554,45.9554,0,181.334009,362.6680181,12450.1,12450.1,12450.1,-4,0,2,1,0,0.070200521,0.035100261,0.070200521,0.083329804,0.083329804,0.083329804,0.083329804,-2,33
4481,,1.008,16.6675,39.098,1,2.2,4,1,11.5,16,120,177.25,275,0.82,2.573,3.44,1.75,2.25,0,0,0.25,2.25,0,0,4.341,10.89445,13.618,0.277,0.9503,1.461,13.81,666.0405,2348,20.28,1270.178,4273,0.00008988,0.726723488,2.37,4.813459924,7.595165734,10.37687154,5.293744664,5.293744664,5.293744664,12.5342,24.10625,35.6783,2.6394,2.6394,2.6394,30.44495192,76.07960424,103.9467085,34.7530049,37.3924049,34.7530049,5.36407,267.393535,529.423,1403.27,1403.27,1403.27,362.6680181,907.239009,1451.81,4322802.786,4322802.786,4322802.786,-4,0,2,1,0,0.070200521,0.035100261,0.070200521,0.094207507,0.094207507,0.094207507,0.094207507,-2,43
4493,,1.008,28.4787027,207.2,1,2.216216216,6,1,13.40540541,16,120,163.4054054,202,2.04,2.837567568,3.44,1.891891892,2.594594595,0.810810811,1.135135135,0.108108108,2.756756757,0,0,7.417,11.67521622,13.618,0.277,0.975297297,1.461,13.81,714.1694595,2348,20.28,1369.76,4273,0.00008988,1.560944311,11.342,4.813459924,7.595165734,10.37687154,10.16298837,10.16298837,10.16298837,12.5342,24.10625,35.6783,4.7807,4.7807,4.7807,30.44495192,76.07960424,103.9467085,17.62163162,22.40233162,17.62163162,5.36407,267.393535,529.423,23.3664,23.3664,23.3664,362.6680181,907.239009,1451.81,1877.97,1877.97,1877.97,-4,0,2,1,0,0.070200521,0.035100261,0.070200521,0.061164415,0.061164415,0.061164415,0.061164415,-2,159
5244,,10.81,20.15483333,40.08,2,2.416666667,4,2,13,16,152,176.6666667,231,1,2.671666667,3.44,2,2.666666667,0,0,0,2.333333333,0,0,6.113,11.025,13.618,-1.39,0.782166667,1.461,54.36,749.46,2348,90.2,1352.45,4273,0.001429,0.846633583,2.37,4.813459924,4.854821556,4.896183188,7.107397804,7.107397804,7.107397804,29.9537,32.816,35.6783,8.746,8.746,8.746,46.69903252,56.16551626,103.9467085,25.83197336,34.57797336,25.83197336,0.947505,265.1852525,529.423,86.1915,86.1915,86.1915,362.6680181,585.8913828,809.1147476,138.911,138.911,138.911,-7,0,2,1,0.070200521,0.144746385,0.072373192,0.074545863,0.13694458,0.13694458,0.13694458,0.13694458,-3.5,113
6292,,1.008,11.27692308,39.098,1,1.769230769,4,1,10.23076923,16,120,154.5769231,275,0.82,2.688461538,3.44,1.653846154,2.038461538,0,0,0.346153846,1.884615385,0,0,4.341,12.23196154,13.618,0.277,0.978846154,1.461,13.81,493.8203846,2348,20.28,909.2938462,4273,0.00008988,0.490687194,2.37,4.813459924,10.34176858,15.83497427,5.293744664,5.293744664,5.293744664,1.8726,16.69503333,35.6783,2.6394,2.6394,2.6394,8.466064201,51.34393616,103.9467085,34.7530049,37.3924049,34.7530049,0.522972,178.4366807,529.423,1403.27,1403.27,1403.27,94.88645852,636.4548255,1451.81,4322802.786,4322802.786,4322802.786,-4,0,3,1,0,0.070200521,0.023400174,0.070200521,0.094207507,0.094207507,0.094207507,0.094207507,-1.333333333,41
10380,,15.999,41.56620714,180.9479,2,2.857142857,6,1,13.71428571,16,152,178.0714286,275,0.82,2.807857143,3.44,1.928571429,3,2.357142857,1,0.071428571,2.142857143,0.5,0,4.341,11.32092857,13.618,0.322,1.287285714,1.461,54.36,553.5692857,3290,90.2,1206.628571,5731,0.001429,2.3765615,16.4,5.742736064,6.405474582,7.0682131,5.293744664,5.293744664,5.293744664,32.1454,46.145,60.1446,2.6394,2.6394,2.6394,53.78298543,171.6767748,251.0635496,34.7530049,37.3924049,34.7530049,0.0384513,622.2242257,1244.41,1403.27,1403.27,1403.27,5490.35467,1637378.374,3269266.394,4322802.786,4322802.786,4322802.786,-7,0,2,1,0.046260528,0.161567688,0.080783844,0.11530716,0.094207507,0.094207507,0.094207507,0.094207507,-3.5,188
