ICSD/MP_ID,formula,sources,MinMass(F1),AverMass(F2),MaxMass(F3),MinPeriodNum(F4),AverPeriodNum(F5),MaxPeriodNum(F6),MinGroupNum(F7),AverGroupNum(F8),MaxGroupNum(F9),MinRaduis(F10),AverRaduis(F11),MaxRaduis(F12),MinEleNegativity(F13),AverEleNegativity(F14),MaxEleNegativity(F15),AverSValenceEleNum(F16),AverPValenceEleNum(F17),AverDValenceEleNum(F18),AverFValenceEleNum(F19),AverSUnfilledState(F20),AverPUnfilledState(F21),AverDUnfilledState(F22),AverFUnfilledState(F23),MinIonizationEner(F24),AverIonizationEner(F25),MaxIonizationEner(F26),MinEleAffinity(F27),AverEleAffinity(F28),MaxEleAffinity(F29),MinMeltingPoint(F30),AverMeltingPoint(F31),MaxMeltingPoint(F32),MinBoilingPoint(F33),AverBoilingPoint(F34),MaxBoilingPoint(F35),MinDensity(F36),AverDensity(F37),MaxDensity(F38),NegaMinGap(SN1),NegaAverGap(SN2),NegaMaxGap(SN3),MinNegaDipoleTotal(SN4),AverNegaDipoleTotal(SN5),MaxNegaDipoleTotal(SN6),MinNegaAnisoQuadrupole(SN7),AverNegaAnisoQuadrupole(SN8),MaxNegaAnisoQuadrupole(SN9),MinNegaAnisoPolar(SN10),AverNegaAnisoPolar(SN11),MaxNegaAnisoPolar(SN12),MinNegaTotalHyperPolar(SN13),AverNegaTotalHyperPolar(SN14),MaxNegaTotalHyperPolar(SN15),TotalNegaCharge(SN16),TotalNegaMultiplicity(SN17),MinNegaFlexibility(SN18),TotalNegaFlexibility(SN19),AverNegaFlexibility(SN20),MaxNegaFlexibility(SN21),AverNegaCharge(SN22),PosiMinGap(SP1),PosiAverGap(SP2),PosiMaxGap(SP3),MinPosiDipoleTotal(SP4),AverPosiDipoleTotal(SP5),MaxPosiDipoleTotal(SP6),MinPosiAnisoQuadrupole(SP7),AverPosiAnisoQuadrupole(SP8),MaxPosiAnisoQuadrupole(SP9),MinPosiAnisoPolar(SP10),AverPosiAnisoPolar(SP11),MaxPosiAnisoPolar(SP12),MinPosiTotalHyperPolar(SP13),AverPosiTotalHyperPolar(SP14),MaxPosiTotalHyperPolar(SP15),TotalPosiCharge(SP16),TotalPosiMultiplicity(SP17),MinPosiFlexibility(SP18),TotalPosiFlexibility(SP19),AverPosiFlexibility(SP20),MaxPosiFlexibility(SP21),Eg_PBE(eV),Eg_EXP(eV),delta_n,d_ij(pm/V)
99,Na4(GeSe4)(H2O)14,ICSD,1.008,14.366,78.97,1,1.725,4,1,6.549,16,120,144.451,227,0.93,2.465,3.44,1.373,1.451,0.98,0,0.627,0.784,0,0,5.139,12.527,13.618,0.548,1.043,2.021,13.81,114.069,1211.4,20.28,262.601,3106,0,0.558,5.323,5.743,9.356,15.835,1.873,19.407,32.145,8.466,39.735,60.983,0,0.263,0.553,0,82.913,166.162,-6,3,0,0.046,0.015,0.046,-2,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,2.613,,0.027,3.275
436,Rb3Hg2(SO4)3Cl,ICSD,15.999,46.725,200.59,2,3,6,1,13.524,17,152,184.095,303,0.82,2.792,3.44,1.857,3.095,0.952,1.333,0.143,1.476,0,0,4.177,11.47,13.618,-0.19,1.353,3.617,54.36,161.67,388.36,90.2,362.739,961,0.001,1.804,13.534,8.773,10.021,11.269,3.625,14.701,25.778,2.735,16.069,69.171,0,0.003,0.006,0,1.467,2.933,-3,2,0,0.201,0.101,0.201,-1.5,5.014,7.322,9.63,4.599,4.735,4.87,12.111,10.79,33.92,29.225,1054.353,2079.48,1292.38,3078659.401,6156026.421,0,2,0.042,0.141,0.071,0.099,2.43,4.94,,
1537,RbH2PO4,ICSD,1.008,22.807,85.468,1,2.25,5,1,10.25,16,120,166.375,303,0.82,2.646,3.44,1.625,2.375,0,0,0.375,1.375,0,0,4.177,12.042,13.618,0.468,1.071,1.461,13.81,109.353,317.3,20.28,239.501,961,0,0.419,1.82,6.71,8.544,10.377,12.534,15.768,19.001,25.055,28.295,30.445,0.018,2.172,4.326,39.27,311.527,583.784,-4,2,0,0.107,0.054,0.107,-2,5.014,5.014,5.014,4.599,4.599,4.599,33.92,38.519,33.92,303.357,303.357,303.357,60853.629,60853.629,60853.629,0,1,0.099,0.099,0.099,0.099,5.55,5.725,0.022,
1725,K(B(SO3Cl)4),ICSD,10.81,23.272,39.098,2,2.455,4,1,15.364,17,152,168.682,275,0.82,3.05,3.44,1.955,3.864,0,0,0.045,1.864,0,0,4.341,12.244,13.618,0.277,1.868,3.617,54.36,253.495,2348,90.2,464.311,4273,0.001,0.525,2.37,4.813,8.285,11.269,3.625,21.694,35.678,2.735,22.605,103.947,0,92.575,277.72,0,55.58,165.56,-6,3,0,0.272,0.091,0.201,-2,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,5.179,,0.064,1.104
1968,NaSb3F10,ICSD,18.998,41.304,121.76,2,2.714,5,1,15.429,17,135,156.786,227,0.93,3.349,3.98,1.929,4.214,2.143,0,0.071,1.357,0,0,5.139,14.664,17.423,0.548,2.653,3.339,53.53,258.399,903.78,85.03,541.879,1860,0.002,1.503,6.685,4.673,9.917,15.161,10.202,22.941,35.68,21.668,33.775,117.446,0,181.459,362.917,0,7.827,15.655,-4,2,0,0.052,0.026,0.052,-2,6.246,6.246,6.246,1.865,1.865,1.865,30.739,32.604,30.739,77.998,77.998,77.998,9284.889,9284.889,9284.889,0,1,0.083,0.083,0.083,0.083,4.97,,0.1,0.83
2081,CsB3O5,ICSD,10.81,27.259,132.905,2,2.444,6,1,13.333,16,152,186.556,343,0.79,2.679,3.44,1.889,2.556,0,0,0.111,2.778,0,0,3.894,10.764,13.618,0.277,0.956,1.461,54.36,846.377,2348,90.2,1579.333,4273,0.001,1.005,2.37,4.813,4.813,4.813,35.678,35.678,35.678,103.947,139.625,103.947,277.72,277.72,277.72,165.56,165.56,165.56,-3,1,0.07,0.07,0.07,0.07,-3,5.389,5.389,5.389,2.367,2.367,2.367,28.297,30.664,28.297,266.501,266.501,266.501,27365.547,27365.547,27365.547,0,1,0.119,0.119,0.119,0.119,5.3,7.42,0.059,1.512
4074,Cs2Hg3I8,ICSD,126.905,144.832,200.59,5,5.385,6,1,13.385,17,198,222.846,343,0.79,2.22,2.66,1.846,3.077,8.462,3.231,0.154,0.615,0,0,3.894,9.439,10.451,-0.19,1.911,3.059,234.32,338.534,386.85,457.55,572.157,944,1.93,6.454,13.534,8.47,8.47,8.47,10.128,10.128,10.128,21.356,31.484,21.356,0,0,0,0,0,0,-1,1,0,0,0,0,-1,5.389,7.51,9.63,2.367,3.619,4.87,12.111,9.674,28.297,22.29,144.395,266.501,1064.08,14214.813,27365.547,0,2,0.042,0.161,0.08,0.119,1.73,2.56,0.094,27.59
4102,CdHg(SCN)4,ICSD,12.011,38.954,200.59,2,2.786,6,12,14.571,16,155,170.5,209,1.69,2.598,3.04,2,2.571,1.429,1,0,2.571,0,0,8.994,11.718,14.534,-0.21,0.9,2.077,63.15,1280.47,3823,77.36,1517.309,4098,0.001,2.826,13.534,8.439,8.439,8.439,6.845,6.845,6.845,17.306,24.151,17.306,32.03,32.03,32.03,1756.57,1756.57,1756.57,-1,1,3.465,3.465,3.465,3.465,-1,8.21,8.92,9.63,4.87,5.418,5.967,12.111,11.474,15.344,22.29,23.606,24.923,1064.08,1575.645,2087.21,0,2,0.042,0.1,0.05,0.058,2.46,2.515,0.193,
4225,Mg5(BO3)3F,ICSD,10.81,17.608,24.305,2,2.278,3,2,11.667,17,135,163.556,192,1.31,2.645,3.98,2,2.444,0,0,0,1.889,0,0,7.646,11.284,17.423,-0.22,0.901,3.339,53.53,677.876,2348,85.03,1140.602,4273,0.001,0.879,2.37,4.813,9.987,15.161,10.202,22.94,35.678,21.668,33.774,103.947,0,138.86,277.72,0,82.78,165.56,-4,2,0,0.07,0.035,0.07,-2,7.365,7.365,7.365,7.483,7.483,7.483,20.318,27.8,20.318,25.35,25.35,25.35,4843.68,4843.68,4843.68,0,1,0.083,0.083,0.083,0.083,5.35,5.63,0.033,0.155
4481,K3B5O8(OH)2,ICSD,1.008,16.668,39.098,1,2.2,4,1,11.5,16,120,177.25,275,0.82,2.573,3.44,1.75,2.25,0,0,0.25,2.25,0,0,4.341,10.894,13.618,0.277,0.95,1.461,13.81,666.041,2348,20.28,1270.178,4273,0,0.727,2.37,4.813,7.595,10.377,12.534,24.106,35.678,30.445,76.08,103.947,4.326,141.023,277.72,165.56,374.672,583.784,-4,2,0,0.07,0.035,0.07,-2,5.294,5.294,5.294,2.639,2.639,2.639,34.753,37.392,34.753,230.047,230.047,230.047,30942.76,30942.76,30942.76,0,1,0.094,0.094,0.094,0.094,5.046,,0.066,0.414
