99,,,,,,,,Na2O,H2O;GeO4;Se,Na4(GeSe4)(H2O)14,,,,,,,,,
1725,,,,,,,,K2O,BO3;SO4;Cl,K(B(SO3Cl)4),,,,,,,,,
1973,,,,,,,,Na2O,OH;H2O;BO3,(Na(H2O))2(B5O8(OH)),,,,,,,,,
2081,,,,,,,,Cs2O,BO3,CsB3O5,,,,,,,,,
4225,,,,,,,,MgO,BO3;F,Mg5(BO3)3F,,,,,,,,,
4481,,,,,,,,K2O,OH;BO3,K3B5O8(OH)2,,,,,,,,,
4493,,,,,,,,PbO,OH;BO3,Pb3(OH)(B9O16)(B(OH)3),,,,,,,,,
5244,,,,,,,,CaO,BO3;SiO4,Ca2SiB2O7,,,,,,,,,
6292,,,,,,,,K2O,OH;H2O;BO3,K(B5O6(OH)4)(H2O)2,,,,,,,,,
10380,,,,,,,,K2O,GeO4;TaO4,KTaGe3O9,,,,,,,,,
10381,,,,,,,,Rb2O,GeO4;TaO4,RbTaGe3O9,,,,,,,,,
10382,,,,,,,,Rb2O,GeO4;NbO4,RbNbGe3O9,,,,,,,,,
10383,,,,,,,,Tl2O,GeO4;TaO4,TlTaGe3O9,,,,,,,,,
10384,,,,,,,,BaO,SnO4;GeO4,BaSnGe3O9,,,,,,,,,
10443,,,,,,,,K2O,BO3;SO4;Cl,K(B(SO3Cl)4),,,,,,,,,
12134,,,,,,,,Na2O,OH;BO3;SiO4,Na(BSi2O5)(OH)2,,,,,,,,,
14174,,,,,,,,ZnO;BaO,S;GeO4,Ba2ZnGe2S6O,,,,,,,,,
15674,,,,,,,,BaO,GeO4,BaGeGe3O9,,,,,,,,,
18001,,,,,,,,CaO,BO3;Br,Ca2(B5O9Br),,,,,,,,,
18211,,,,,,,,K2O,H2O;BO3,K(B5O8)(H2O)4,,,,,,,,,
